id,label,scores
11151,1,6
10992,5,8
12196,4,6
11258,8,8
13596,5,8
13166,4,8
14376,6,8
12335,8,6
14667,1,8
10394,8,8
12611,10,8
14102,8,8
12459,10,8
14551,4,8
11386,3,8
12986,7,8
13257,9,7
12901,1,8
12456,10,8
13814,3,8
11705,6,4
11936,8,7
13352,6,8
12254,10,8
14669,6,6
13163,1,8
13308,2,8
14228,1,7
14001,7,5
13768,9,8
12032,7,8
13119,3,8
10989,7,8
12351,1,7
10626,1,8
13302,8,6
10407,3,8
14309,1,8
12235,7,8
11105,10,8
14134,10,8
11559,8,8
12590,7,8
11430,2,8
13296,9,8
13545,7,8
13665,8,8
13866,4,8
13888,6,7
14520,9,8
11844,2,8
10397,4,5
12012,7,8
14540,8,8
11094,7,6
13136,8,8
11667,9,8
13475,5,8
11537,2,8
10265,7,8
14451,4,8
14646,6,7
11074,10,7
14036,4,8
14320,3,7
14636,3,6
13091,9,8
14658,2,5
12388,10,7
14258,7,5
13836,4,8
13512,8,4
13724,4,8
11619,7,8
13030,9,8
10078,2,6
13608,2,8
10559,9,8
11070,1,8
14400,4,8
10254,3,8
11914,8,8
13171,1,8
12890,8,8
10136,9,8
12844,3,8
12684,9,8
13597,3,5
13706,4,8
12317,9,8
11030,9,7
14073,10,8
10569,8,8
14288,7,8
12460,5,8
13040,7,8
13017,3,6
10730,7,6
10987,7,8
11592,10,7
14062,1,8
11948,10,8
13044,9,8
12805,4,8
14399,9,8
13230,7,7
10454,2,8
13703,7,8
12532,2,4
11113,4,8
14159,9,8
12672,8,8
12646,7,8
13872,8,7
13970,9,8
12033,7,7
12024,4,8
10189,7,6
10671,9,8
11391,9,8
13118,7,7
11295,5,5
13403,3,7
12149,8,8
13985,2,7
10668,10,8
13048,1,7
11934,3,3
12704,2,6
13611,9,8
10917,2,8
13969,8,8
11046,4,8
14523,7,8
10654,1,8
11342,9,7
14000,9,8
14174,9,8
12662,4,8
10963,7,6
14183,8,8
10278,1,6
12802,1,8
14511,10,8
10607,9,8
12783,7,8
11095,1,8
14225,3,8
10918,8,8
12058,1,8
11737,1,8
13149,7,5
13838,9,8
11083,9,8
11077,5,8
13069,10,8
14168,9,8
13841,8,7
10433,1,8
12354,3,8
13157,8,8
12172,2,8
11052,5,8
14434,3,5
10251,5,8
12836,1,8
11745,1,6
12989,7,8
10062,1,8
10796,9,8
14025,4,8
14227,2,5
12710,2,8
13598,2,8
10145,9,8
13562,2,8
10242,4,8
12071,8,7
13340,1,8
12184,7,8
11718,10,8
12690,9,8
11797,1,8
11208,9,8
11899,6,8
14301,1,8
12676,2,4
11337,4,8
10598,10,8
13436,5,8
12983,9,8
13225,2,8
14648,6,8
10159,2,3
11441,7,8
11547,4,8
14569,9,6
10376,4,8
12669,3,8
12685,8,4
12185,5,7
13851,9,8
12923,2,4
11515,10,7
10384,10,8
14406,2,8
12816,7,4
14525,7,8
12300,5,8
14630,3,5
11740,2,8
13965,1,3
11554,7,8
10819,6,8
10399,1,8
13071,9,8
13952,5,8
13227,3,5
14177,1,8
11778,4,6
12313,1,8
13208,3,8
10536,7,8
13923,2,5
12419,3,8
11389,10,8
11749,7,3
13002,4,7
12814,5,5
12227,9,8
11120,3,6
13458,1,7
13772,9,8
11666,2,8
14433,10,8
13957,8,8
10193,8,8
14175,2,8
11232,7,3
10142,1,8
12962,8,8
11034,7,8
10009,9,5
11215,8,8
11431,6,8
11148,2,8
12144,5,7
12430,4,8
13082,1,8
10168,4,8
12606,9,8
10882,7,8
14393,4,5
13854,4,8
14269,9,8
12675,1,8
10681,5,8
10369,6,8
11579,9,8
13763,10,8
12580,7,8
13021,9,8
13881,6,5
14461,4,7
11530,7,8
12307,2,7
10748,7,3
13445,8,7
14531,2,8
11958,9,8
12724,8,8
11728,3,6
11497,9,8
12718,5,8
12847,1,8
12904,7,8
14330,8,8
14241,1,8
10939,3,5
10755,1,8
12183,1,8
14350,4,4
12813,6,8
10656,7,8
10745,9,8
10567,2,6
10003,2,4
12551,3,8
11846,4,8
11266,8,8
10640,1,8
13928,6,8
13502,7,7
11487,1,8
13818,10,8
13945,3,5
13521,7,8
10540,8,8
12023,9,8
10888,9,8
14625,7,8
10171,9,8
12083,8,6
12073,2,6
12298,5,8
10348,1,8
12832,10,8
13106,2,8
11275,7,4
11377,8,8
10511,8,8
12518,9,8
13767,1,5
14382,9,8
11193,6,5
12798,2,8
10614,7,8
13820,9,8
11017,2,6
14655,2,3
13972,3,7
11794,7,8
14568,8,7
11843,9,8
10012,6,8
10832,7,8
13531,7,8
13926,10,8
14348,6,8
10879,9,8
10543,2,5
10113,7,8
14195,2,8
